120
(-10, 2.12681, 0)(1, 1, 1)(0, 1)
(-9, 2.35595, 0)(1, 1, 1)(0, 1)
(-9, 2.35595, 0)(1, 1, 1)(0, 1)
(-8, 2.57185, 0)(1, 1, 1)(0, 1)
(-8, 2.57185, 0)(1, 1, 1)(0, 1)
(-7, 2.77454, 0)(1, 1, 1)(0, 1)
(-7, 2.77454, 0)(1, 1, 1)(0, 1)
(-6, 2.964, 0)(1, 1, 1)(0, 1)
(-6, 2.964, 0)(1, 1, 1)(0, 1)
(-5, 3.14023, 0)(1, 1, 1)(0, 1)
(-5, 3.14023, 0)(1, 1, 1)(0, 1)
(-4, 3.30324, 0)(1, 1, 1)(0, 1)
(-4, 3.30324, 0)(1, 1, 1)(0, 1)
(-3, 3.45302, 0)(1, 1, 1)(0, 1)
(-3, 3.45302, 0)(1, 1, 1)(0, 1)
(-2, 3.58959, 0)(1, 1, 1)(0, 1)
(-2, 3.58959, 0)(1, 1, 1)(0, 1)
(-1, 3.71292, 0)(1, 1, 1)(0, 1)
(-1, 3.71292, 0)(1, 1, 1)(0, 1)
(0, 3.82303, 0)(1, 1, 1)(0, 1)
(0, 3.82303, 0)(1, 1, 1)(0, 1)
(1, 3.91992, 0)(1, 1, 1)(0, 1)
(1, 3.91992, 0)(1, 1, 1)(0, 1)
(2, 4.00358, 0)(1, 1, 1)(0, 1)
(2, 4.00358, 0)(1, 1, 1)(0, 1)
(3, 4.07402, 0)(1, 1, 1)(0, 1)
(3, 4.07402, 0)(1, 1, 1)(0, 1)
(4, 4.13123, 0)(1, 1, 1)(0, 1)
(4, 4.13123, 0)(1, 1, 1)(0, 1)
(5, 4.17522, 0)(1, 1, 1)(0, 1)
(5, 4.17522, 0)(1, 1, 1)(0, 1)
(6, 4.20598, 0)(1, 1, 1)(0, 1)
(6, 4.20598, 0)(1, 1, 1)(0, 1)
(7, 4.22352, 0)(1, 1, 1)(0, 1)
(7, 4.22352, 0)(1, 1, 1)(0, 1)
(8, 4.22783, 0)(1, 1, 1)(0, 1)
(8, 4.22783, 0)(1, 1, 1)(0, 1)
(9, 4.21892, 0)(1, 1, 1)(0, 1)
(9, 4.21892, 0)(1, 1, 1)(0, 1)
(10, 4.19679, 0)(1, 1, 1)(0, 1)
(10, 4.19679, 0)(1, 1, 1)(0, 1)
(11, 4.16143, 0)(1, 1, 1)(0, 1)
(11, 4.16143, 0)(1, 1, 1)(0, 1)
(12, 4.11284, 0)(1, 1, 1)(0, 1)
(12, 4.11284, 0)(1, 1, 1)(0, 1)
(13, 4.05103, 0)(1, 1, 1)(0, 1)
(13, 4.05103, 0)(1, 1, 1)(0, 1)
(14, 3.976, 0)(1, 1, 1)(0, 1)
(14, 3.976, 0)(1, 1, 1)(0, 1)
(15, 3.88774, 0)(1, 1, 1)(0, 1)
(15, 3.88774, 0)(1, 1, 1)(0, 1)
(16, 3.78625, 0)(1, 1, 1)(0, 1)
(16, 3.78625, 0)(1, 1, 1)(0, 1)
(17, 3.67155, 0)(1, 1, 1)(0, 1)
(17, 3.67155, 0)(1, 1, 1)(0, 1)
(18, 3.54361, 0)(1, 1, 1)(0, 1)
(18, 3.54361, 0)(1, 1, 1)(0, 1)
(19, 3.40246, 0)(1, 1, 1)(0, 1)
(19, 3.40246, 0)(1, 1, 1)(0, 1)
(20, 3.24807, 0)(1, 1, 1)(0, 1)
(20, 3.24807, 0)(1, 1, 1)(0, 1)
(21, 3.08047, 0)(1, 1, 1)(0, 1)
(21, 3.08047, 0)(1, 1, 1)(0, 1)
(22, 2.89964, 0)(1, 1, 1)(0, 1)
(22, 2.89964, 0)(1, 1, 1)(0, 1)
(23, 2.70558, 0)(1, 1, 1)(0, 1)
(23, 2.70558, 0)(1, 1, 1)(0, 1)
(24, 2.4983, 0)(1, 1, 1)(0, 1)
(24, 2.4983, 0)(1, 1, 1)(0, 1)
(25, 2.27779, 0)(1, 1, 1)(0, 1)
(25, 2.27779, 0)(1, 1, 1)(0, 1)
(26, 2.04406, 0)(1, 1, 1)(0, 1)
(26, 2.04406, 0)(1, 1, 1)(0, 1)
(27, 1.79711, 0)(1, 1, 1)(0, 1)
(27, 1.79711, 0)(1, 1, 1)(0, 1)
(28, 1.53693, 0)(1, 1, 1)(0, 1)
(28, 1.53693, 0)(1, 1, 1)(0, 1)
(29, 1.26353, 0)(1, 1, 1)(0, 1)
(29, 1.26353, 0)(1, 1, 1)(0, 1)
(30, 0.976898, 0)(1, 1, 1)(0, 1)
(30, 0.976898, 0)(1, 1, 1)(0, 1)
(31, 0.677045, 0)(1, 1, 1)(0, 1)
(31, 0.677045, 0)(1, 1, 1)(0, 1)
(32, 0.363967, 0)(1, 1, 1)(0, 1)
(32, 0.363967, 0)(1, 1, 1)(0, 1)
(33, 0.0376649, 0)(1, 1, 1)(0, 1)
(33, 0.0376649, 0)(1, 1, 1)(0, 1)
(34, -0.301862, 0)(1, 1, 1)(0, 1)
(34, -0.301862, 0)(1, 1, 1)(0, 1)
(35, -0.654614, 0)(1, 1, 1)(0, 1)
(35, -0.654614, 0)(1, 1, 1)(0, 1)
(36, -1.02059, 0)(1, 1, 1)(0, 1)
(36, -1.02059, 0)(1, 1, 1)(0, 1)
(37, -1.39979, 0)(1, 1, 1)(0, 1)
(37, -1.39979, 0)(1, 1, 1)(0, 1)
(38, -1.79222, 0)(1, 1, 1)(0, 1)
(38, -1.79222, 0)(1, 1, 1)(0, 1)
(39, -2.19787, 0)(1, 1, 1)(0, 1)
(39, -2.19787, 0)(1, 1, 1)(0, 1)
(40, -2.61674, 0)(1, 1, 1)(0, 1)
(40, -2.61674, 0)(1, 1, 1)(0, 1)
(41, -3.04884, 0)(1, 1, 1)(0, 1)
(41, -3.04884, 0)(1, 1, 1)(0, 1)
(42, -3.49417, 0)(1, 1, 1)(0, 1)
(42, -3.49417, 0)(1, 1, 1)(0, 1)
(43, -3.95272, 0)(1, 1, 1)(0, 1)
(43, -3.95272, 0)(1, 1, 1)(0, 1)
(44, -4.42449, 0)(1, 1, 1)(0, 1)
(44, -4.42449, 0)(1, 1, 1)(0, 1)
(45, -4.90949, 0)(1, 1, 1)(0, 1)
(45, -4.90949, 0)(1, 1, 1)(0, 1)
(46, -5.40771, 0)(1, 1, 1)(0, 1)
(46, -5.40771, 0)(1, 1, 1)(0, 1)
(47, -5.91916, 0)(1, 1, 1)(0, 1)
(47, -5.91916, 0)(1, 1, 1)(0, 1)
(48, -6.44383, 0)(1, 1, 1)(0, 1)
(48, -6.44383, 0)(1, 1, 1)(0, 1)
(49, -6.98173, 0)(1, 1, 1)(0, 1)
(49, -6.98173, 0)(1, 1, 1)(0, 1)
(50, -7.53285, 0)(1, 1, 1)(0, 1)
