120
(-10, -131, 0)(1, 1, 1)(0, 1)
(-9, -97.5714, 0)(1, 1, 1)(0, 1)
(-9, -97.5714, 0)(1, 1, 1)(0, 1)
(-8, -70.0556, 0)(1, 1, 1)(0, 1)
(-8, -70.0556, 0)(1, 1, 1)(0, 1)
(-7, -47.9048, 0)(1, 1, 1)(0, 1)
(-7, -47.9048, 0)(1, 1, 1)(0, 1)
(-6, -30.5714, 0)(1, 1, 1)(0, 1)
(-6, -30.5714, 0)(1, 1, 1)(0, 1)
(-5, -17.5079, 0)(1, 1, 1)(0, 1)
(-5, -17.5079, 0)(1, 1, 1)(0, 1)
(-4, -8.16667, 0)(1, 1, 1)(0, 1)
(-4, -8.16667, 0)(1, 1, 1)(0, 1)
(-3, -2, 0)(1, 1, 1)(0, 1)
(-3, -2, 0)(1, 1, 1)(0, 1)
(-2, 1.53968, 0)(1, 1, 1)(0, 1)
(-2, 1.53968, 0)(1, 1, 1)(0, 1)
(-1, 3, 0)(1, 1, 1)(0, 1)
(-1, 3, 0)(1, 1, 1)(0, 1)
(0, 2.92857, 0)(1, 1, 1)(0, 1)
(0, 2.92857, 0)(1, 1, 1)(0, 1)
(1, 1.87302, 0)(1, 1, 1)(0, 1)
(1, 1.87302, 0)(1, 1, 1)(0, 1)
(2, 0.380952, 0)(1, 1, 1)(0, 1)
(2, 0.380952, 0)(1, 1, 1)(0, 1)
(3, -1, 0)(1, 1, 1)(0, 1)
(3, -1, 0)(1, 1, 1)(0, 1)
(4, -1.72222, 0)(1, 1, 1)(0, 1)
(4, -1.72222, 0)(1, 1, 1)(0, 1)
(5, -1.23809, 0)(1, 1, 1)(0, 1)
(5, -1.23809, 0)(1, 1, 1)(0, 1)
(6, 1, 0)(1, 1, 1)(0, 1)
(6, 1, 0)(1, 1, 1)(0, 1)
(7, 5.53968, 0)(1, 1, 1)(0, 1)
(7, 5.53968, 0)(1, 1, 1)(0, 1)
(8, 12.9286, 0)(1, 1, 1)(0, 1)
(8, 12.9286, 0)(1, 1, 1)(0, 1)
(9, 23.7143, 0)(1, 1, 1)(0, 1)
(9, 23.7143, 0)(1, 1, 1)(0, 1)
(10, 38.4444, 0)(1, 1, 1)(0, 1)
(10, 38.4444, 0)(1, 1, 1)(0, 1)
(11, 57.6667, 0)(1, 1, 1)(0, 1)
(11, 57.6667, 0)(1, 1, 1)(0, 1)
(12, 81.9286, 0)(1, 1, 1)(0, 1)
(12, 81.9286, 0)(1, 1, 1)(0, 1)
(13, 111.778, 0)(1, 1, 1)(0, 1)
(13, 111.778, 0)(1, 1, 1)(0, 1)
(14, 147.762, 0)(1, 1, 1)(0, 1)
(14, 147.762, 0)(1, 1, 1)(0, 1)
(15, 190.429, 0)(1, 1, 1)(0, 1)
(15, 190.429, 0)(1, 1, 1)(0, 1)
(16, 240.325, 0)(1, 1, 1)(0, 1)
(16, 240.325, 0)(1, 1, 1)(0, 1)
(17, 298, 0)(1, 1, 1)(0, 1)
(17, 298, 0)(1, 1, 1)(0, 1)
(18, 364, 0)(1, 1, 1)(0, 1)
(18, 364, 0)(1, 1, 1)(0, 1)
(19, 438.873, 0)(1, 1, 1)(0, 1)
(19, 438.873, 0)(1, 1, 1)(0, 1)
(20, 523.167, 0)(1, 1, 1)(0, 1)
(20, 523.167, 0)(1, 1, 1)(0, 1)
(21, 617.429, 0)(1, 1, 1)(0, 1)
(21, 617.429, 0)(1, 1, 1)(0, 1)
(22, 722.206, 0)(1, 1, 1)(0, 1)
(22, 722.206, 0)(1, 1, 1)(0, 1)
(23, 838.048, 0)(1, 1, 1)(0, 1)
(23, 838.048, 0)(1, 1, 1)(0, 1)
(24, 965.5, 0)(1, 1, 1)(0, 1)
(24, 965.5, 0)(1, 1, 1)(0, 1)
(25, 1105.11, 0)(1, 1, 1)(0, 1)
(25, 1105.11, 0)(1, 1, 1)(0, 1)
(26, 1257.43, 0)(1, 1, 1)(0, 1)
(26, 1257.43, 0)(1, 1, 1)(0, 1)
(27, 1423, 0)(1, 1, 1)(0, 1)
(27, 1423, 0)(1, 1, 1)(0, 1)
(28, 1602.37, 0)(1, 1, 1)(0, 1)
(28, 1602.37, 0)(1, 1, 1)(0, 1)
(29, 1796.1, 0)(1, 1, 1)(0, 1)
(29, 1796.1, 0)(1, 1, 1)(0, 1)
(30, 2004.71, 0)(1, 1, 1)(0, 1)
(30, 2004.71, 0)(1, 1, 1)(0, 1)
(31, 2228.78, 0)(1, 1, 1)(0, 1)
(31, 2228.78, 0)(1, 1, 1)(0, 1)
(32, 2468.83, 0)(1, 1, 1)(0, 1)
(32, 2468.83, 0)(1, 1, 1)(0, 1)
(33, 2725.43, 0)(1, 1, 1)(0, 1)
(33, 2725.43, 0)(1, 1, 1)(0, 1)
(34, 2999.11, 0)(1, 1, 1)(0, 1)
(34, 2999.11, 0)(1, 1, 1)(0, 1)
(35, 3290.43, 0)(1, 1, 1)(0, 1)
(35, 3290.43, 0)(1, 1, 1)(0, 1)
(36, 3599.93, 0)(1, 1, 1)(0, 1)
(36, 3599.93, 0)(1, 1, 1)(0, 1)
(37, 3928.16, 0)(1, 1, 1)(0, 1)
(37, 3928.16, 0)(1, 1, 1)(0, 1)
(38, 4275.67, 0)(1, 1, 1)(0, 1)
(38, 4275.67, 0)(1, 1, 1)(0, 1)
(39, 4643, 0)(1, 1, 1)(0, 1)
(39, 4643, 0)(1, 1, 1)(0, 1)
(40, 5030.71, 0)(1, 1, 1)(0, 1)
(40, 5030.71, 0)(1, 1, 1)(0, 1)
(41, 5439.33, 0)(1, 1, 1)(0, 1)
(41, 5439.33, 0)(1, 1, 1)(0, 1)
(42, 5869.43, 0)(1, 1, 1)(0, 1)
(42, 5869.43, 0)(1, 1, 1)(0, 1)
(43, 6321.54, 0)(1, 1, 1)(0, 1)
(43, 6321.54, 0)(1, 1, 1)(0, 1)
(44, 6796.21, 0)(1, 1, 1)(0, 1)
(44, 6796.21, 0)(1, 1, 1)(0, 1)
(45, 7294, 0)(1, 1, 1)(0, 1)
(45, 7294, 0)(1, 1, 1)(0, 1)
(46, 7815.44, 0)(1, 1, 1)(0, 1)
(46, 7815.44, 0)(1, 1, 1)(0, 1)
(47, 8361.1, 0)(1, 1, 1)(0, 1)
(47, 8361.1, 0)(1, 1, 1)(0, 1)
(48, 8931.5, 0)(1, 1, 1)(0, 1)
(48, 8931.5, 0)(1, 1, 1)(0, 1)
(49, 9527.21, 0)(1, 1, 1)(0, 1)
(49, 9527.21, 0)(1, 1, 1)(0, 1)
(50, 10148.8, 0)(1, 1, 1)(0, 1)
